,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
429,0.10939164161682129,0.02209761391293195,0.009372282028198241,0.007652436634119779,7,13,50,50,100,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 100}",0.37624069197848364,0.34343142052112563,0.3659658292082837,0.4844182244977542,0.27203515950255,0.36841826514163944,0.06846494114650337,502
430,0.5190272808074952,0.018596510432655054,0.018745803833007814,0.00624887976629521,7,13,50,50,500,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 500}",0.37886414752170805,0.3423376762070548,0.3660036730276658,0.4818708397816164,0.2692614742961944,0.36766756216684787,0.06855053890579554,603
431,1.0055555820465087,0.03603486937721251,0.032099246978759766,0.0017077925117691697,7,13,50,50,1000,"{'max_depth': 7, 'max_features': 13, 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 1000}",0.3802968496452609,0.342668618709408,0.3676039870502571,0.48013670842447975,0.26937426923567787,0.36801608661301677,0.06796281787377804,527
432,0.09062299728393555,0.011703370084075149,0.009375905990600586,0.007655395934872977,8,3,5,5,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.4049101326170409,0.3666378485751577,0.36198382036896026,0.4611948011559719,0.2699053481433391,0.37292639017209395,0.06258896523894097,461
433,0.5063947200775146,0.03792770860250648,0.024997997283935546,0.007650393209541206,8,3,5,5,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.40552948607690986,0.3695382368202441,0.3652447561398643,0.46390727573451684,0.29184407233628895,0.3792127654215648,0.05619202822746796,437
434,0.990561580657959,0.04699123832620525,0.040621471405029294,0.012502527512005007,8,3,5,5,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1000}",0.40430904435041803,0.36861881836601895,0.3651528948798438,0.46324214774677286,0.29115594282711577,0.37849576963403386,0.056128612265991466,443
435,0.09999032020568847,0.007657012713974361,0.0,0.0,8,3,5,10,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.4049101326170409,0.3666378485751577,0.36198382036896026,0.4611948011559719,0.2699053481433391,0.37292639017209395,0.06258896523894097,461
436,0.4843297481536865,0.02795175659293618,0.015618515014648438,4.9769557163778045e-06,8,3,5,10,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.40552948607690986,0.3695382368202441,0.3652447561398643,0.46390727573451684,0.29184407233628895,0.3792127654215648,0.05619202822746796,437
437,0.9723209857940673,0.04166891100330198,0.05312380790710449,0.007668226641438758,8,3,5,10,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 1000}",0.40430904435041803,0.36861881836601895,0.3651528948798438,0.46324214774677286,0.29115594282711577,0.37849576963403386,0.056128612265991466,443
438,0.09374985694885254,0.009881535804843857,0.0031243324279785155,0.006248664855957032,8,3,5,25,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 100}",0.3890045219595233,0.35219726983282773,0.3671368814413737,0.46535125963623347,0.2751070073773676,0.3697593880494651,0.06129039043233053,492
439,0.4781464099884033,0.03647876320469999,0.01883530616760254,0.006422045280786342,8,3,5,25,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 500}",0.39714898821113276,0.3587635217469509,0.3651945162505018,0.46022653353243625,0.28805645891417,0.37387800373103836,0.055976415377838165,458
440,0.937314510345459,0.026057988759964054,0.037493419647216794,0.012492443808596463,8,3,5,25,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 25, 'n_estimators': 1000}",0.39909546395805906,0.3624939832057771,0.3645325313605614,0.46109101623420123,0.29081358883580866,0.3756053167188814,0.05539628615425791,456
441,0.0834773063659668,0.006532137423482482,0.010317564010620117,0.006656759805593325,8,3,5,50,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 100}",0.3743503651094756,0.3457762200352892,0.3562300623882112,0.45286228985757015,0.2690573603283294,0.35965525954377514,0.058848679990274114,693
442,0.47493791580200195,0.032178569500971387,0.015626811981201173,4.882868379034736e-06,8,3,5,50,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 500}",0.38378981472438367,0.34492041318456157,0.35241111036223927,0.44664581298434103,0.28021616413339634,0.3615966630777844,0.05424232881701469,681
